Country,Country Code,Exporter Degree,Importer Degree,Eigenvector Centrality In,Eigenvector Centrality Out,Closeness Centrality,Degree Centrality
Gibraltar,292,1130,9403,0.002945295374456626,0.0029307772312881413,0.5769230769230769,10533
Equatorial Guinea,226,399,9744,0.0030047156900904126,0.002248646148999528,0.5784061696658098,10143
Belize,84,1949,7995,0.0034892550509762134,0.0037967803365562824,0.5952380952380952,9944
Cabo Verde,132,957,8779,0.0028527422527207208,0.002953067149598796,0.5725190839694656,9736
Democratic People's Republic of Korea,408,4474,4874,0.00276774205294921,0.003188675824203995,0.5754475703324808,9348
Gambia,270,722,8065,0.003372483923460271,0.0032389181343923323,0.5952380952380952,8787
Niger,562,1720,7018,0.0034338889941215546,0.003460389254494558,0.5890052356020943,8738
Somalia,706,549,7340,0.0032192566478817753,0.0029165509177850324,0.587467362924282,7889
Saint Lucia,662,724,6971,0.002825135402525465,0.0025600395499021412,0.5725190839694656,7695
Vanuatu,548,491,7022,0.002645282983433449,0.0025028587980547167,0.5667506297229219,7513
Antigua and Barbuda,28,801,6295,0.003155403876272729,0.003114151932981148,0.582901554404145,7096
Cayman Islands,136,794,5861,0.0030939340300831708,0.002586644724009326,0.582901554404145,6655
San Marino,674,2886,3654,0.002550865403450015,0.00340371648063244,0.5653266331658291,6540
Saint Maarten (Dutch part),534,464,6009,0.0020643847175303718,0.0014584945988041593,0.5501222493887531,6473
Samoa,882,745,5675,0.0021924697610105873,0.0021175387751583828,0.5541871921182266,6420
Chad,148,603,5787,0.003155089476594971,0.00323604553355288,0.5844155844155844,6390
Solomon Islands,90,493,5690,0.0021364683006008275,0.002412668608371735,0.5528255528255528,6183
Timor-Leste,626,335,5662,0.002008932700223628,0.0020459149389587435,0.5487804878048781,5997
State of Palestine,275,725,4794,0.0025689775235762445,0.002678518752686147,0.5653266331658291,5519
Grenada,308,466,4980,0.0030551558746100857,0.0026406612797461454,0.5798969072164949,5446
British Virgin Islands,92,1125,4199,0.0031581344246800346,0.0032706188816955255,0.5844155844155844,5324
Marshall Islands,584,563,4434,0.0026802262979342627,0.0026387370036737535,0.5681818181818182,4997
